Pclass_1,Pclass_2,Pclass_3,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Age_Binned_Child,Age_Binned_Adult,Age_Binned_Senior
1,0,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,1,0,0,1,0,0
1,0,0,0,1,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,1,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,1,0,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,1,0,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,1,0,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,1,0,0
1,0,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,0,1
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,1,0,0,1,0,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,0,1
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
0,1,0,0,1,0,1,0,0,0,1
0,1,0,0,1,0,0,1,1,0,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,1,0,0
0,0,1,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,1,0,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,0,1
0,0,1,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,1,0,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,1,0,0
0,1,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,1,0,1,0,0,1,0,0
0,0,1,1,0,0,0,1,1,0,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,1,0,0,1,0,0
0,0,1,0,1,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,0,1
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,1,0,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,1,0,0,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,1,0,1,0,0,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,1,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,1,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
0,0,1,0,1,0,0,1,1,0,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,1,0,0
0,1,0,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,1,0,0,1,0
1,0,0,1,0,0,0,1,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
1,0,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,1,0,0,1,1,0,0,0,1,0
0,1,0,0,1,0,0,1,0,1,0
1,0,0,0,1,1,0,0,0,1,0
0,0,1,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,1,0,0
0,0,1,1,0,0,1,0,0,1,0
1,0,0,1,0,0,1,0,0,1,0
0,0,1,1,0,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
1,0,0,1,0,1,0,0,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,0,0,1,0,1,0
0,0,1,0,1,1,0,0,0,1,0
